numero_uai;appellation;denomination;patronyme;etat_etabl;nature_uai;lib_nature;sous_fic;field_11;Coord_X;Coord_Y
492430;Ecole primaire Michel Ange;ECOLE PRIMAIRE PUBLIQUE;MICHEL ANGE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492430;6767792
492158;Ecole primaire Moquet Glonières;ECOLE PRIMAIRE PUBLIQUE;MOQUET GLONNIERES;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492158;6767514
492436;Ecole primaire Ferdinand Buisson;ECOLE PRIMAIRE PUBLIQUE;FERDINAND BUISSON;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492436;6770905
500166;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;500166;6755724
504402;Ecole primaire Claude Chappe;ECOLE PRIMAIRE PUBLIQUE;CLAUDE CHAPPE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;504402;6773090
504512;Ecole maternelle Les Hauts Champs;ECOLE MATERNELLE PUBLIQUE;LES HAUTS CHAMPS;1;101;ECOLE MATERNELLE;1;;504512;6772853
481111;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;481111;6803157
486079;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;486079;6816644
507696;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;507696;6730361
470341;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;HENRI NIGOUL;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;470341;6791835
507387;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;507387;6804101
483931;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;483931;6786274
488669;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;488669;6777417
468036;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;468036;6779147
506096;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;506096;6802924
499000;Ecole primaire Jacques Prévert;ECOLE PRIMAIRE PUBLIQUE;JACQUES PREVERT;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;499000;6778264
520311;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;520311;6781108
479094;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;479094;6792991
525144;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;525144;6771820
492789;Collège Vauguyon;COLLEGE;VAUGUYON;1;340;COLLEGE;3;;492789;6767429
488835;Collège Vieux Colombier;COLLEGE;VIEUX COLOMBIER;1;340;COLLEGE;3;;488835;6769490
489840;Collège Jean de l'Epine;COLLEGE;JEAN DE L'EPINE;1;340;COLLEGE;3;;489840;6772317
491877;Collège Albert Camus;COLLEGE;ALBERT CAMUS;1;340;COLLEGE;3;;491877;6769187
531649;Collège privé Frère André;COLLEGE PRIVE;FRERE ANDRE;1;340;COLLEGE;3;;531649;6759727
506528;Collège privé Saint Jean;COLLEGE PRIVE;ST JEAN;1;340;COLLEGE;3;;506528;6736001
525736;Collège privé Notre-Dame;COLLEGE PRIVE;NOTRE DAME;1;340;COLLEGE;3;;525736;6789790
464851;Collège privé Saint Michel;COLLEGE PRIVE;ST MICHEL;1;340;COLLEGE;3;;464851;6770530
486750;Collège privé Saint Joseph-Lorraine;COLLEGE PRIVE;ST JOSEPH LORRAINE;1;340;COLLEGE;3;;486750;6768849
490268;Collège privé Les Mûriers;COLLEGE PRIVE;LES MURIERS;1;340;COLLEGE;3;;490268;6771507
491999;Collège privé Sacré-Coeur de Pontlieue;COLLEGE PRIVE;SACRE COEUR DE PONTLIEUE;1;340;COLLEGE;3;;491999;6768001
467592;Collège privé Saint Coeur de Marie;COLLEGE PRIVE;ST COEUR DE MARIE;1;340;COLLEGE;3;;467592;6791655
491858;Lycée polyvalent privé Saint Charles;LPO LYCEE DES METIERS;ST CHARLES;1;306;LYCEE POLYVALENT;3;;491858;6770520
491858;Section d'enseignement professionnel du Lycée polyvalent privé Saint Charles;SECTION ENSEIGT PROFES.PRIVEE;LPO ST CHARLES;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;491858;6770520
489783;Lycée polyvalent privé Sainte Catherine;LYC POLYVAL PRIVE DES METIERS;STE CATHERINE;1;306;LYCEE POLYVALENT;3;;489783;6772899
491930;Lycée professionnel privé du Sacré Coeur de Pontlieue;LYCEE PROFESSIONNEL PRIVE;DU SACRE COEUR DE PONTLIEUE;2;320;LYCEE PROFESSIONNEL;3;;491930;6768044
491761;Lycée professionnel privé Joseph Roussel;LYCEE PROFESSIONNEL PRIVE;JOSEPH ROUSSEL;1;320;LYCEE PROFESSIONNEL;3;;491761;6770524
490995;Ecole secondaire professionnelle privée pigier le Mans;ECOLE 2D DEGRE PROF.PRIVEE;PIGIER;1;320;LYCEE PROFESSIONNEL;3;;490995;6770525
469046;Lycée général privé Notre-Dame;LYCEE GENERAL PRIVE;NOTRE DAME;1;302;LYCEE D ENSEIGNEMENT GENERAL;3;;469046;6737862
492183;Lycée général et technologique privé Notre-Dame de Sainte-Croix;LYCEE GEN.ET TECHNOL.PRIVE;ND DE STE CROIX;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;;492183;6770237
490769;Collège privé Saint Louis;COLLEGE PRIVE;ST LOUIS;1;340;COLLEGE;3;;490769;6770385
491562;Collège privé Psallette Saint Vincent;COLLEGE PRIVE;PSALLETTE ST VINCENT;1;340;COLLEGE;3;;491562;6771994
491200;Lycée général et technologique privé Notre-Dame;LYCEE GEN.ET TECHNOL.PRIVE;NOTRE DAME;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;;491200;6770698
491497;Collège privé Saint Julien;COLLEGE PRIVE;ST JULIEN;1;340;COLLEGE;3;;491497;6770993
483902;Lycée général privé Saint Michel des Perrais;LYCEE GENERAL PRIVE;ST MICHEL DES PERRAIS;1;302;LYCEE D ENSEIGNEMENT GENERAL;3;;483902;6753653
450482;Lycée polyvalent privé Sainte Anne;LYCEE POLYVALENT PRIVE;STE ANNE;1;306;LYCEE POLYVALENT;3;;450482;6754303
503259;Collège Louis Cordelet;COLLEGE;LOUIS CORDELET;1;340;COLLEGE;3;;503259;6762533
492702;Ecole maternelle Claude Bernard;ECOLE MATERNELLE PUBLIQUE;CLAUDE BERNARD;1;101;ECOLE MATERNELLE;1;;492702;6768931
492281;Ecole maternelle Le Plateau;ECOLE MATERNELLE PUBLIQUE;LUCIE AUBRAC;1;101;ECOLE MATERNELLE;1;;492281;6772325
492989;Ecole maternelle Clairefontaine;ECOLE MATERNELLE PUBLIQUE;CLAIREFONTAINE;1;101;ECOLE MATERNELLE;1;;492989;6771178
490358;Ecole maternelle La Madeleine;ECOLE MATERNELLE PUBLIQUE;LA MADELEINE;1;101;ECOLE MATERNELLE;1;;490358;6773006
493281;Ecole maternelle Jean Vilar;ECOLE MATERNELLE PUBLIQUE;JEAN VILAR;1;101;ECOLE MATERNELLE;1;;493281;6767464
488183;Ecole maternelle Jules Ferry;ECOLE MATERNELLE PUBLIQUE;JULES FERRY;1;101;ECOLE MATERNELLE;1;;488183;6766768
469344;Ecole maternelle d'Estournelles de Constant;ECOLE MATERNELLE PUBLIQUE;D ESTOURNELLES DE CONSTANT;1;101;ECOLE MATERNELLE;1;;469344;6737168
500856;Ecole maternelle Kergomard;ECOLE MATERNELLE PUBLIQUE;P. KERGOMARD;1;101;ECOLE MATERNELLE;1;;500856;6772450
468605;Ecole primaire Latouche;ECOLE PRIMAIRE PUBLIQUE;LATOUCHE THOREE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;468605;6737588
490331;Ecole primaire La Madeleine;ECOLE PRIMAIRE PUBLIQUE;LA MADELEINE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490331;6772955
