CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72093,52,72,722,7210,5211,Cormes,460,401,59,53,46,4,43,7,391,176,4,165,43,238,203,176,11,11,1,5,35,16,18,0,222,197,170,18,7,0,2,24,13,8,4,201,18,165,18,4,1,2,1,197,19,165,13,43,5,35,3,64,396,316,3,76,0,48,343,289,2,52,0
72094,52,72,722,7204,5213,Coudrecieux,248,192,55,51,45,6,40,6,180,81,5,59,21,134,100,87,4,4,0,5,35,21,14,0,113,93,72,19,1,1,0,20,15,5,0,99,18,73,7,6,1,3,2,92,6,77,9,39,3,31,5,63,185,169,0,15,0,71,109,93,2,14,0
72095,52,72,723,7238,5213,Coulaines,2767,2606,161,632,607,115,491,25,3165,1574,122,1448,603,1368,1262,1095,78,44,5,39,106,36,68,2,1399,1345,1101,188,10,15,30,55,37,17,0,1252,131,993,129,110,40,60,10,1344,149,1037,158,491,65,375,52,457,2310,2212,24,74,0,641,2524,2417,22,84,1
72096,52,72,721,7215,5213,Coulans-sur-Gée,723,645,78,118,109,13,96,9,492,220,13,192,67,372,324,290,25,5,0,4,48,32,16,0,351,321,280,30,0,3,8,30,23,7,1,323,24,270,29,13,5,6,3,320,27,273,20,96,6,88,3,148,575,535,21,18,1,136,356,345,4,6,1
72097,52,72,722,7202,0051,Coulombiers,193,170,23,33,33,10,23,0,142,56,10,51,19,104,88,73,5,4,2,4,16,10,6,0,89,82,70,8,1,2,1,7,5,2,0,88,11,70,7,10,4,5,1,80,9,63,8,21,3,13,5,31,162,89,3,70,0,43,99,68,3,28,0
72098,52,72,721,7223,5212,Coulongé,236,208,28,41,36,4,32,5,194,88,6,70,20,127,109,97,8,3,0,1,18,10,8,0,109,100,75,20,5,0,0,9,5,3,1,109,5,95,8,4,0,4,0,100,8,83,8,32,2,28,2,41,195,176,4,15,0,33,161,154,2,5,0
72099,52,72,723,7201,5213,Courceboeufs,277,238,39,38,35,4,31,3,175,85,6,57,22,154,128,115,6,4,1,1,27,11,14,1,123,110,94,10,2,1,3,12,5,7,0,128,19,102,7,4,1,1,2,110,14,91,5,31,3,28,0,35,242,236,2,4,0,34,141,137,1,3,0
72100,52,72,721,7217,5213,Courcelles-la-Forêt,186,141,45,24,23,1,22,1,166,58,5,55,16,99,72,62,6,3,0,1,28,16,12,0,87,69,49,16,2,1,1,18,11,6,1,72,8,61,3,1,1,0,0,69,15,50,4,22,2,18,2,36,150,143,4,3,0,57,109,102,2,5,0
72101,52,72,723,7201,5213,Courcemont,315,272,42,49,49,5,44,0,225,107,9,76,28,164,136,115,13,4,1,3,28,11,17,0,150,136,114,16,2,1,3,14,5,7,2,136,17,111,8,5,1,2,2,136,12,117,7,44,3,38,3,49,265,248,1,15,1,46,179,162,1,16,0
72102,52,72,722,7203,5213,Courcival,38,27,10,6,4,0,4,2,41,17,3,12,2,20,13,12,1,0,0,0,7,6,1,0,18,14,12,2,0,0,0,4,3,1,0,13,2,9,2,0,0,0,0,14,3,11,0,4,0,4,0,8,30,27,0,3,0,12,29,25,0,4,0
